기능명,속성,FE/BE,기능 상세,분류,비고,완료여부
로그인/회원가입 프론트,장성주,FE,로그인 회원가입 시키기,클라이언트 표시 화면,로그인 안 될시에 자동 이동,No
방 생성,장성주,BE,"ROOM_CREATER, START(위도 경도), END(위도 경도), 최대 인원, 예상 금액, 설명",방 관리 기능,"위도 경도는 ‘/’로 나누어서 텍스트로 저장
FE 폼에서 위도 경도만 받기
위도 경도 캐싱해서 저장 후 api 요청 건수 최소화",Yes
서비스 화면,장성주,FE,"지도위에 마커 표시, 사이드바에 현재 카풀 방 표시, 팝업으로 새 카풀 제작 창 표시",,,Yes
auth,장성주,BE,회원가입/로그인 기능을 django의 auth 모델을 사용해 구현,계정 관련 기능,,Yes
알림,장성주,BE,django webpush 사용해서 출발시각 30분 전 알림 띄우기,기타 전송/체크 기능,구현 가능하다면 구현,No
예상 택시 요금,장성주,BE,지역별 택시요금 표 참고,,"https://gntx.kr/information/information_02_1.php
",Yes
방 참가,장성주,BE,"방에 유저 참가, 지금 참여 중이진 않은지 확인 후 참여시키기",,room_user 테이블 따로 제작,Yes
방 삭제,장성주,BE,"방 삭제, CASCADE로 room_user 테이블의 유저 모두 삭제",,"출발 시각+50분 뒤 자동 삭제
삭제되면 원래 유저들에게 알림 전송",No
방 빼기,장성주,BE,유저가 직접 방에서 나가기 가능,,"room_user 테이블에서 삭제
만약 room이 0명이라면 자동 방 삭제",Yes
마이페이지,장성주,FE,본인 정보 수정 가능,,,No
유저 정보 수정,장성주,BE,password 맞을 시 번경,,"이름, 비밀번호만 번경",Yes
방 수정,장성주,BE," 방 정보 수정(내용 텍스트만)",구현 안할 것," 목적지/출발지 번경은 문제 있으므로 구현 X",No
현재 방 표시,장성주,FE,지금 내가 참여중인 방 표시,,,Yes
가능 시간대 체크,장성주,BE,방금 선택한 시간대가 선택된 시간들 내에 포함되지 않는지 확인 후 T/F return,,,Yes
검색/불러오기,,BE,"검색을 한 후에 불러오도록 전환
검색은 시작지/도착지 모두 입력",,,Yes